reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart				k		
49	60	89	7	4	53	4	176.6651415		176.6543089	176.6651415	177.6655793	177.6655793	177.6655793	178.5723258	l	0.8982043	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
15	35	13	7	6	55	1	181.4656915		181.4554505	181.4656915	182.4659546	182.4659546	182.4659546	190.4909524	l	8.0058969	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	8	1	57	2	194.4829784		194.4595329	194.4829784	195.4679399	195.4679399	195.4838	201.2594699	l	5.7879153	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
40	55	62	8	2	58	3	201.2836049		201.2605111	201.2836049	202.2691097	202.2691097	202.28456	210.8928236	l	8.6201844	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
15	35	13	8	3	59	1	210.9180783		210.8936001	210.9180783	211.9023981	211.9023981	211.9190724	216.674872	l	4.7663959	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
11	30	7	8	5	61	0	219.8357035		219.8103591	219.8357035	220.8357296	220.8357296	220.8530864	221.5114741	l	0.6736906	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
37	50	21	9	0	63	2	225.6202895		225.6091898	225.6202895	226.6204056	226.6204056	226.6204056	227.4789302	l	0.856677	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
11	30	7	9	2	65	0	230.6365338		230.6102916	230.6365338	231.6209718	231.6209718	231.6375526	232.6095915	l	0.9750484	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
15	35	13	9	5	68	1	237.4874169		237.463882	237.4874169	238.4716203	238.4716203	238.4881528	239.4962381	l	1.0201165	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
11	30	7	10	0	70	0	241.5377686		241.5122045	241.5377686	242.5220549	242.5220549	242.5387335	243.2613049	l	0.7351742	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
